	City	Town	gasolina 95	gasolina 98	diésel	diésel plus	gasóleo B	biodiésel	GNL	GNC	GLP	Fecha
0	Álava	Alegría-Dulantzi	1,199 €/l		1,109 €/l		0,726 €/l					2020-04-05 18:07:41.365654
1	Álava	Amurrio	1,117 €/l	1,249 €/l	1,044 €/l	1,099 €/l						2020-04-05 18:07:41.789597
2	Álava	Arraia-Maeztu	1,250 €/l	1,315 €/l	1,145 €/l							2020-04-05 18:07:42.176546
3	Álava	Arrazua-Ubarrundia	1,152 €/l	1,276 €/l	1,084 €/l	1,154 €/l		1,159 €/l				2020-04-05 18:07:43.312640
4	Álava	Artziniega	1,165 €/l	1,285 €/l	1,085 €/l	1,125 €/l	0,660 €/l					2020-04-05 18:07:43.648186
5	Álava	Asparrena	1,109 €/l		1,038 €/l	1,109 €/l						2020-04-05 18:07:44.154953
6	Álava	Campezo/Kanpezu	1,100 €/l		1,000 €/l	1,200 €/l	0,760 €/l					2020-04-05 18:07:44.569695
7	Álava	Elburgo/Burgelu	1,179 €/l	1,303 €/l	1,089 €/l	1,159 €/l	0,754 €/l				0,659 €/l	2020-04-05 18:07:44.975563
8	Álava	Iruña Oka/Iruña de Oca	0,947 €/l		0,894 €/l		0,819 €/l		0,858 €/l	0,939 €/l		2020-04-05 18:07:45.390131
9	Álava	Labastida	1,139 €/l	1,239 €/l	1,085 €/l	1,135 €/l	0,754 €/l					2020-04-05 18:07:45.824264
10	Álava	Laguardia	1,135 €/l		1,079 €/l	1,159 €/l	0,808 €/l					2020-04-05 18:07:46.273416
11	Álava	Lantarón	1,040 €/l		0,970 €/l							2020-04-05 18:07:48.643832
12	Álava	Llodio	1,100 €/l	1,240 €/l	1,054 €/l	1,134 €/l						2020-04-05 18:07:49.062538
13	Álava	Oyón/Oion	1,145 €/l	1,265 €/l	1,075 €/l		0,999 €/l					2020-04-05 18:07:50.845772
14	Álava	Ribera Alta	1,139 €/l		1,069 €/l		0,629 €/l					2020-04-05 18:07:51.193209
15	Álava	Ribera Baja/Erribera Beitia	1,159 €/l	1,289 €/l	1,069 €/l	1,135 €/l	0,869 €/l	1,229 €/l			0,725 €/l	2020-04-05 18:07:51.622201
16	Álava	Salvatierra/Agurain	1,074 €/l	1,274 €/l	1,028 €/l	1,169 €/l	0,701 €/l					2020-04-05 18:07:53.351756
17	Álava	San Millán/Donemiliaga	1,181 €/l	1,281 €/l	1,089 €/l		0,823 €/l	1,099 €/l				2020-04-05 18:07:53.813332
18	Álava	Vitoria-Gasteiz	1,148 €/l	1,294 €/l	1,067 €/l	1,166 €/l	0,834 €/l	1,159 €/l		0,900 €/l	0,680 €/l	2020-04-05 18:07:54.898925
19	Álava	Zuia	1,178 €/l	1,292 €/l	1,115 €/l	1,173 €/l					0,665 €/l	2020-04-05 18:07:55.293882
20	Albacete	Abengibre	1,219 €/l		1,029 €/l		0,629 €/l					2020-04-05 18:08:02.742911
21	Albacete	Alatoz	1,299 €/l	1,459 €/l	1,200 €/l	1,389 €/l						2020-04-05 18:08:03.130626
22	Albacete	Albacete	1,129 €/l	1,255 €/l	1,069 €/l	1,155 €/l	0,788 €/l		0,858 €/l	0,939 €/l	0,706 €/l	2020-04-05 18:08:03.601766
23	Albacete	Alcadozo	1,249 €/l		1,159 €/l	1,259 €/l	0,899 €/l					2020-04-05 18:08:04.033102
24	Albacete	Alcalá del Júcar	1,239 €/l		1,139 €/l							2020-04-05 18:08:06.562234
25	Albacete	Alcaraz	1,134 €/l	1,419 €/l	1,074 €/l	1,129 €/l						2020-04-05 18:08:06.961460
26	Albacete	Almansa	1,077 €/l	1,225 €/l	1,019 €/l	1,114 €/l	0,629 €/l				0,669 €/l	2020-04-05 18:08:07.482340
27	Albacete	Alpera	1,110 €/l		0,977 €/l		0,651 €/l					2020-04-05 18:08:07.880913
28	Albacete	Balazote	1,159 €/l		1,099 €/l		0,810 €/l					2020-04-05 18:08:08.275691
29	Albacete	Barrax	1,159 €/l		1,048 €/l		0,684 €/l					2020-04-05 18:08:08.702064
30	Albacete	Bienservida	1,309 €/l		1,259 €/l							2020-04-05 18:08:10.643217
31	Albacete	Bonete	1,119 €/l	1,229 €/l	1,079 €/l	1,129 €/l						2020-04-05 18:08:11.539835
32	Albacete	El Bonillo	1,109 €/l	1,209 €/l	1,059 €/l	1,139 €/l	0,757 €/l					2020-04-05 18:08:12.002801
33	Albacete	Casas de Juan Núñez	1,209 €/l		1,079 €/l		0,590 €/l					2020-04-05 18:08:12.426052
34	Albacete	Casas-Ibáñez	1,239 €/l	1,399 €/l	1,139 €/l	1,199 €/l	0,759 €/l					2020-04-05 18:08:12.820581
35	Albacete	Caudete	1,163 €/l	1,319 €/l	1,060 €/l	1,178 €/l	0,690 €/l					2020-04-05 18:08:13.168377
36	Albacete	Chinchilla de Monte-Aragón	1,174 €/l	1,259 €/l	1,107 €/l	1,175 €/l					0,689 €/l	2020-04-05 18:08:13.647787
37	Albacete	Elche de la Sierra	1,109 €/l	1,209 €/l	1,059 €/l	1,139 €/l	0,797 €/l					2020-04-05 18:08:14.038784
38	Albacete	Fuente-Álamo	1,179 €/l	1,379 €/l		1,079 €/l	0,699 €/l					2020-04-05 18:08:14.425860
39	Albacete	Fuentealbilla	1,129 €/l		1,069 €/l		0,679 €/l					2020-04-05 18:08:14.757080
40	Albacete	La Gineta	1,119 €/l	1,234 €/l	1,074 €/l	1,134 €/l						2020-04-05 18:08:15.127222
41	Albacete	Golosalvo	1,158 €/l	1,399 €/l	1,089 €/l	1,179 €/l						2020-04-05 18:08:15.542227
42	Albacete	Hellín	1,106 €/l	1,229 €/l	1,067 €/l	1,154 €/l	0,847 €/l				0,769 €/l	2020-04-05 18:08:15.963629
43	Albacete	Hoya-Gonzalo										2020-04-05 18:08:16.234535
44	Albacete	Letur	1,185 €/l	1,277 €/l	1,067 €/l		0,805 €/l					2020-04-05 18:08:16.688489
45	Albacete	Lezuza	1,219 €/l		1,119 €/l							2020-04-05 18:08:17.143229
46	Albacete	Madrigueras	1,067 €/l	1,209 €/l	1,072 €/l	1,119 €/l	0,735 €/l					2020-04-05 18:08:17.595485
47	Albacete	Minaya	1,149 €/l	1,279 €/l	1,089 €/l	1,159 €/l	0,729 €/l					2020-04-05 18:08:18.000522
48	Albacete	Montealegre del Castillo	1,209 €/l		1,159 €/l							2020-04-05 18:08:20.300712
49	Albacete	Munera	1,099 €/l		1,019 €/l	1,069 €/l						2020-04-05 18:08:20.634451
50	Albacete	Nerpio	1,089 €/l	1,189 €/l	1,049 €/l		0,768 €/l					2020-04-05 18:08:21.063260
51	Albacete	Ontur	1,114 €/l	1,227 €/l	1,059 €/l	1,147 €/l	0,824 €/l					2020-04-05 18:08:21.429364
52	Albacete	Ossa de Montiel	1,109 €/l		1,049 €/l	1,119 €/l						2020-04-05 18:08:25.142254
53	Albacete	Peñas de San Pedro	1,249 €/l		1,109 €/l							2020-04-05 18:08:25.520123
54	Albacete	Pétrola	1,104 €/l		1,051 €/l		0,661 €/l					2020-04-05 18:08:25.896151
55	Albacete	Pozo Cañada			1,029 €/l							2020-04-05 18:08:26.266045
56	Albacete	Pozo-Lorente			1,019 €/l		0,579 €/l					2020-04-05 18:08:26.665175
57	Albacete	Pozuelo	1,209 €/l	1,309 €/l	1,119 €/l		0,899 €/l					2020-04-05 18:08:27.066170
58	Albacete	Riópar	1,104 €/l		1,051 €/l	1,111 €/l						2020-04-05 18:08:27.453921
59	Albacete	Robledo	1,189 €/l		1,129 €/l							2020-04-05 18:08:27.828042
60	Albacete	La Roda	1,112 €/l	1,242 €/l	1,062 €/l	1,153 €/l						2020-04-05 18:08:28.266373
61	Albacete	Socovos	1,239 €/l	1,339 €/l	1,069 €/l		0,879 €/l					2020-04-05 18:08:28.653529
62	Albacete	Tarazona de la Mancha	1,104 €/l		0,994 €/l	1,099 €/l						2020-04-05 18:08:29.018229
63	Albacete	Tobarra	1,082 €/l	1,289 €/l	1,004 €/l	1,164 €/l	0,760 €/l					2020-04-05 18:08:29.427198
64	Albacete	Valdeganga	1,209 €/l		1,059 €/l		0,929 €/l					2020-04-05 18:08:31.096468
65	Albacete	Villalgordo del Júcar	1,179 €/l		1,079 €/l							2020-04-05 18:08:33.080326
66	Albacete	Villamalea	1,119 €/l	1,219 €/l	1,059 €/l	1,139 €/l	0,753 €/l					2020-04-05 18:08:33.549232
67	Albacete	Villapalacios	1,199 €/l	1,479 €/l	1,099 €/l	1,169 €/l	0,699 €/l					2020-04-05 18:08:34.077535
68	Albacete	Villarrobledo	1,124 €/l	1,239 €/l	1,056 €/l	1,123 €/l	0,812 €/l					2020-04-05 18:08:34.559836
69	Albacete	Yeste	1,104 €/l		1,051 €/l	1,111 €/l	0,736 €/l					2020-04-05 18:08:35.007825
70	Alicante	Agost	1,124 €/l	1,252 €/l	1,044 €/l	1,124 €/l	0,718 €/l					2020-04-05 18:08:42.435533
